code,type,title,lyrics,pinyin
B4-1,PnW,宝贵十架,"主耶稣，我感谢祢，祢的身体，为我而舍。
带我出黑暗，进入光明国度，使我再次能看见。
主耶稣，我感谢祢，祢的宝血，为我而流。
宝贵十架上，医治恩典涌流，使我完全得自由。
宝贵十架的大能赐我生命，主耶稣我俯伏敬拜祢。
宝贵十架的救恩，是祢所立的约，祢的爱永远不会改变。",zhu ye su wo gan xie mi mi de shen ti wei wo er she dai wo chu hei an jin ru guang ming guo du shi wo zai ci neng kan jian zhu ye su wo gan xie mi mi de bao xue wei wo er liu bao gui shi jia shang yi zhi en dian yong liu shi wo wan quan de zi you bao gui shi jia de da neng ci wo sheng ming zhu ye su wo fu fu jing bai mi bao gui shi jia de jiu en shi mi suo li de yue mi de ai yong yuan bu hui gai bian
B4-2,PnW,不再一样,"我们向耶和华唱新歌，全地都向祢歌唱，称颂祢的名。
天天传扬祢救恩。我们在主里合而为一，把荣耀和赞美都归于祢。
我们回转向祢，不再一样，仰望祢展翅飞翔。
不再一样，不去效法这个世界；不再一样，我们要结出圣灵的果子。
不再一样，求圣灵进入我们心中，我们要活出合神心意的生活。",wo men xiang ye he hua chang xin ge quan di dou xiang mi ge chang cheng song mi de ming tian tian chuan yang mi jiu en wo men zai zhu li he er wei yi ba rong yao he zan mei dou gui yu mi wo men hui zhuan xiang mi bu zai yi yang yang wang mi zhan chi fei xiang bu zai yi yang bu qu xiao fa zhe ge shi jie bu zai yi yang wo men yao jie chu sheng ling de guo zi bu zai yi yang qiu sheng ling jin ru wo men xin zhong wo men yao huo chu he shen xin yi de sheng huo
B5-1,PnW,爸妈谢谢你,"爸爸谢谢你，我的依靠就是你，让我无忧地成长，哪怕路上多崎岖。
妈妈谢谢你，我的希望来自你。教我追求真理，照顾我寸步不离。
天伦幸福的日子里，无怨无悔尽心力。只要我快乐健康，你就欢喜！
爸妈谢谢你，我心中充满感激。这世界变美丽，只因为有了你！
这世界变美丽，只因为有了你！",ba ba xie xie ni wo de yi kao jiu shi ni rang wo wu you di cheng zhang na pa lu shang duo qi qu ma ma xie xie ni wo de xi wang lai zi ni jiao wo zhui qiu zhen li zhao gu wo cun bu bu li tian lun xing fu de ri zi li wu yuan wu hui jin xin li zhi yao wo kuai le jian kang ni jiu huan xi ba ma xie xie ni wo xin zhong chong man gan ji zhe shi jie bian mei li zhi yin wei you le ni zhe shi jie bian mei li zhi yin wei you le ni
B5-2,PnW,奔跑不放弃,"每个狂风暴雨里，你同在在那里。每个难处低谷里，你恩典在那里。
每个伤心失望里，你爱我爱到底。在你爱的光中，我得着能力。
我爱你，用尽我全心全意全力，荣耀高举你的名，我跟随不怀疑。
我爱你，用尽我全心全意全力，在这爱的路程里，我奔跑不放弃。
四面受敌，却不被困住。心里作难，却不至失望。
至暂至轻的苦楚要成就，极重无比永远的荣耀。",mei ge kuang feng bao yu li ni tong zai zai na li mei ge nan chu di gu li ni en dian zai na li mei ge shang xin shi wang li ni ai wo ai dao di zai ni ai de guang zhong wo de zhe neng li wo ai ni yong jin wo quan xin quan yi quan li rong yao gao ju ni de ming wo gen sui bu huai yi wo ai ni yong jin wo quan xin quan yi quan li zai zhe ai de lu cheng li wo ben pao bu fang qi si mian shou di que bu bei kun zhu xin li zuo nan que bu zhi shi wang zhi zan zhi qing de ku chu yao cheng jiu ji zhong wu bi yong yuan de rong yao
B5-3,PnW,不变的应许,"耶稣！恳求你以大能覆盖我，你的话语再一次坚定我；绝望和孤单不断地追赶着我，你却是风雨中的避难所。
耶稣！唯有你了解我忧伤难过，你钉痕手安慰我，拥抱我；擦干我眼泪，医治了我的伤痛，用信心重新开启我的眼光。
耶稣！感谢你一路上牵引着我，十架的路你与我一起走过；你走在我前头，鼓励我不要退缩，因你在创世以前拣选了我。
原来哭有时，欢笑有时，过去所经历的困难，更让我看到你的信实；终于学会保留有时，放手有时，我选择相信你美好不变的应许。
你的旨意超乎我所想所求，在这时候纵使我看不透。你必引领我走进丰盛广阔之地，你恩典总够我用。
原来哭有时，欢笑有时，过去所经历的困难，更让我看到你的信实；终于学会保留有时，放手有时，我选择相信你美好不变的应许。
我生命所有都交托在你的手里。",ye su ken qiu ni yi da neng fu gai wo ni de hua yu zai yi ci jian ding wo jue wang he gu dan bu duan di zhui gan zhe wo ni que shi feng yu zhong de bi nan suo ye su wei you ni liao jie wo you shang nan guo ni ding hen shou an wei wo yong bao wo ca gan wo yan lei yi zhi le wo de shang tong yong xin xin chong xin kai qi wo de yan guang ye su gan xie ni yi lu shang qian yin zhe wo shi jia de lu ni yu wo yi qi zou guo ni zou zai wo qian tou gu li wo bu yao tui suo yin ni zai chuang shi yi qian jian xuan le wo yuan lai ku you shi huan xiao you shi guo qu suo jing li de kun nan geng rang wo kan dao ni de xin shi zhong yu xue hui bao liu you shi fang shou you shi wo xuan ze xiang xin ni mei hao bu bian de ying xu ni de zhi yi chao hu wo suo xiang suo qiu zai zhe shi hou zong shi wo kan bu tou ni bi yin ling wo zou jin feng sheng guang kuo zhi di ni en dian zong gou wo yong yuan lai ku you shi huan xiao you shi guo qu suo jing li de kun nan geng rang wo kan dao ni de xin shi zhong yu xue hui bao liu you shi fang shou you shi wo xuan ze xiang xin ni mei hao bu bian de ying xu wo sheng ming suo you dou jiao tuo zai ni de shou li
B6-1,PnW,把冷漠变成爱,"你的眼是否被太多美丽的事物迷惑
你的心是否被太多纷杂的世俗绑锁
分些关怀给角落中受伤的灵魂
分些爱给那些不起眼的面孔
以基督的心为心，以他的眼看世界
你身边的人需要你我把冷漠变成爱
以基督的心为心，以他的眼看世界
这世界需要你我把冷漠变成爱",ni de yan shi fou bei tai duo mei li de shi wu mi huo ni de xin shi fou bei tai duo fen za de shi su bang suo fen xie guan huai gei jiao luo zhong shou shang de ling hun fen xie ai gei na xie bu qi yan de mian kong yi ji du de xin wei xin yi ta de yan kan shi jie ni shen bian de ren xu yao ni wo ba leng mo bian cheng ai yi ji du de xin wei xin yi ta de yan kan shi jie zhe shi jie xu yao ni wo ba leng mo bian cheng ai
B7-1,PnW,把最好献给祢,"主耶稣我爱你 把你话语藏心底
主耶稣我爱你 从没人能和你比
用我口赞扬你 用我手服侍你
献我心敬拜你 献我身荣耀你
主耶稣我爱你 把你话语藏心底
主耶稣我爱你 把最好的献给你",zhu ye su wo ai ni ba ni hua yu cang xin di zhu ye su wo ai ni cong mei ren neng he ni bi yong wo kou zan yang ni yong wo shou fu shi ni xian wo xin jing bai ni xian wo shen rong yao ni zhu ye su wo ai ni ba ni hua yu cang xin di zhu ye su wo ai ni ba zui hao de xian gei ni
C4-1,PnW,常常喜乐,"常常喜乐，向主高歌，不论环境如何。高山或低谷，主都看顾，相信就能蒙福。常常祷告，耐心等候，主做事有定时。流泪撒种必欢呼收割，相信就有喜乐。
下垂的手再一次举起来，封闭的心再一次敞开，抛开一切忧虑，放下一切重担，来到主的面前，我喜乐满怀。冰冷的心被主爱来温暖，干渴的灵被主爱充满。主是我的力量，主是我的高台，死荫幽谷一路有耶稣陪伴，他永不离开！",chang chang xi le xiang zhu gao ge bu lun huan jing ru he gao shan huo di gu zhu dou kan gu xiang xin jiu neng meng fu chang chang dao gao nai xin deng hou zhu zuo shi you ding shi liu lei sa zhong bi huan hu shou ge xiang xin jiu you xi le xia chui de shou zai yi ci ju qi lai feng bi de xin zai yi ci chang kai pao kai yi qie you lv fang xia yi qie zhong dan lai dao zhu de mian qian wo xi le man huai bing leng de xin bei zhu ai lai wen nuan gan ke de ling bei zhu ai chong man zhu shi wo de li liang zhu shi wo de gao tai si yin you gu yi lu you ye su pei ban ta yong bu li kai
C4-2,PnW,超越一切,"超越众权能
超越众王
超越天地
和一切被造的
超越众人的智慧和道路
是祢创造宇宙和万物
超越众王国
超越权势
超越世人理解的奇妙知识
超越世上的珍宝和财富
祢的宝贵无人能测度
钉十架
被埋在石洞里
牺牲自己
孤独地被唾弃
像玫瑰
被践踏在地
为我受害
祢顾念我
超越一切",chao yue zhong quan neng chao yue zhong wang chao yue tian di he yi qie bei zao de chao yue zhong ren de zhi hui he dao lu shi mi chuang zao yu zhou he wan wu chao yue zhong wang guo chao yue quan shi chao yue shi ren li jie de qi miao zhi shi chao yue shi shang de zhen bao he cai fu mi de bao gui wu ren neng ce duo ding shi jia bei mai zai shi dong li xi sheng zi ji gu du di bei tuo qi xiang mei gui bei jian ta zai di wei wo shou hai mi gu nian wo chao yue yi qie
C4-3,PnW,除祢以外,"除你以外，在天上我还能有谁？
除你以外，在地上我别无眷恋；
除你以外，有谁能擦干我眼泪？
除你以外，有谁能带给我安慰？
虽然我的肉体和我的心肠，渐渐地衰退，
但是神是我心里的力量，是我的福份直到永远！",chu ni yi wai zai tian shang wo hai neng you shui chu ni yi wai zai di shang wo bie wu juan lian chu ni yi wai you shui neng ca gan wo yan lei chu ni yi wai you shui neng dai gei wo an wei sui ran wo de rou ti he wo de xin chang jian jian di shuai tui dan shi shen shi wo xin li de li liang shi wo de fu fen zhi dao yong yuan
C4-4,PnW,赐福与你,"愿主的恩惠慈爱与你同在，愿主的灵时时围绕；
恩典降下，赐福与你，平安喜乐天天充满你。
愿主的喜乐天天充满你。
赐福与你，赐福与你，平安喜乐天天充满你。
赐福与你，赐福与你，平安喜乐天天充满你。",yuan zhu de en hui ci ai yu ni tong zai yuan zhu de ling shi shi wei rao en dian jiang xia ci fu yu ni ping an xi le tian tian chong man ni yuan zhu de xi le tian tian chong man ni ci fu yu ni ci fu yu ni ping an xi le tian tian chong man ni ci fu yu ni ci fu yu ni ping an xi le tian tian chong man ni
C4-5,PnW,赐我自由,"赐自由的灵啊
求你来 来到我的里面
来到我的生活
赶走生活中的愁烦
驱走我心中的不安
你的灵啊在哪里
哪里就有自由
世界虽有劳苦重担
求你灵来赐我自由",ci zi you de ling a qiu ni lai lai dao wo de li mian lai dao wo de sheng huo gan zou sheng huo zhong de chou fan qu zou wo xin zhong de bu an ni de ling a zai na li na li jiu you zi you shi jie sui you lao ku zhong dan qiu ni ling lai ci wo zi you
C6-1,PnW,彩虹下的约定,"我空虚的心灵，终于不再流泪
期待这雨后，缤纷的彩虹
诉说你我的约定
我不安的脚步，终于可以停歇
主你已为我，摆设了生命的盛宴
与你有约，是永恒的约
彩虹为证，千古不变
我要高歌，为生命喜悦
万物歌颂你的慈爱，大地诉说你的恩典",wo kong xu de xin ling zhong yu bu zai liu lei qi dai zhe yu hou bin fen de cai hong su shuo ni wo de yue ding wo bu an de jiao bu zhong yu ke yi ting xie zhu ni yi wei wo bai she le sheng ming de sheng yan yu ni you yue shi yong heng de yue cai hong wei zheng qian gu bu bian wo yao gao ge wei sheng ming xi yue wan wu ge song ni de ci ai da di su shuo ni de en dian
C6-2,PnW,从早晨到夜晚,"早晨我睁开眼睛，渴望聆听祢声音；
心中思想祢的好，更多与祢来亲近。
我的主仍要歌唱，向祢唱明我心意；
敬拜化成一首歌，单单要献给祢。
从早晨到夜晚，从旷野到高山，
我要赞美祢圣名。
从早晨到夜晚，祢爱永不止息；
亲爱主，一生紧紧跟随祢。
我的主，我爱祢；
我要颂祢的爱无止息。
我的主，我爱祢；
我要颂祢的爱无止息。",zao chen wo zheng kai yan jing ke wang ling ting mi sheng yin xin zhong si xiang mi de hao geng duo yu mi lai qin jin wo de zhu reng yao ge chang xiang mi chang ming wo xin yi jing bai hua cheng yi shou ge dan dan yao xian gei mi cong zao chen dao ye wan cong kuang ye dao gao shan wo yao zan mei mi sheng ming cong zao chen dao ye wan mi ai yong bu zhi xi qin ai zhu yi sheng jin jin gen sui mi wo de zhu wo ai mi wo yao song mi de ai wu zhi xi wo de zhu wo ai mi wo yao song mi de ai wu zhi xi
C6-3,PnW,从这代到那代,"要将荣耀能力，归给耶和华祂名所当得的，荣耀归给祂，不分种族国家，齐声来颂扬，在宝座前，高举双手。
从这代到那代，万民不停赞美，从地极到地极，万民欢然献祭，从列国到列邦，荣耀崇拜祂为王，高唱哈利路亚，齐敬拜弥赛亚。
众城门，抬起头，荣耀君王将要进来，末后的荣耀大过先前的。众城门，抬起头，荣耀君王将要进来，万国敬拜如众水的声音。",yao jiang rong yao neng li gui gei ye he hua ta ming suo dang de de rong yao gui gei ta bu fen zhong zu guo jia qi sheng lai song yang zai bao zuo qian gao ju shuang shou cong zhe dai dao na dai wan min bu ting zan mei cong di ji dao di ji wan min huan ran xian ji cong lie guo dao lie bang rong yao chong bai ta wei wang gao chang ha li lu ya qi jing bai mi sai ya zhong cheng men tai qi tou rong yao jun wang jiang yao jin lai mo hou de rong yao da guo xian qian de zhong cheng men tai qi tou rong yao jun wang jiang yao jin lai wan guo jing bai ru zhong shui de sheng yin
D1-1,PnW,祷,"使我作你和平之子，
在憎恨之处播下你的爱，
在伤痕之处播下你宽恕，
在怀疑之处播下信心。

主啊，使我少为自己求，
少求受安慰，但求安慰人；
少求被了解，但求了解人；
少求被爱，但求全心付出爱。

使我作你和平之子，
在绝望之处播下你盼望，
在黑暗之处播下你光明，
在忧愁之处播下你喜乐。

主啊，使我少为自己求，
少求受安慰，但求安慰人；
少求被了解，但求了解人；
少求被爱，但求全心付出爱。

使我作你和平之子，
因宽恕我们便得赦免，
因付出我们便有所得，
因死亡我们便进入永生。

主啊，使我少为自己求，
少求受安慰，但求安慰人；
少求被了解，但求了解人；
少求被爱，但求全心付出爱。",shi wo zuo ni he ping zhi zi zai zeng hen zhi chu bo xia ni de ai zai shang hen zhi chu bo xia ni kuan shu zai huai yi zhi chu bo xia xin xin zhu a shi wo shao wei zi ji qiu shao qiu shou an wei dan qiu an wei ren shao qiu bei liao jie dan qiu liao jie ren shao qiu bei ai dan qiu quan xin fu chu ai shi wo zuo ni he ping zhi zi zai jue wang zhi chu bo xia ni pan wang zai hei an zhi chu bo xia ni guang ming zai you chou zhi chu bo xia ni xi le zhu a shi wo shao wei zi ji qiu shao qiu shou an wei dan qiu an wei ren shao qiu bei liao jie dan qiu liao jie ren shao qiu bei ai dan qiu quan xin fu chu ai shi wo zuo ni he ping zhi zi yin kuan shu wo men bian de she mian yin fu chu wo men bian you suo de yin si wang wo men bian jin ru yong sheng zhu a shi wo shao wei zi ji qiu shao qiu shou an wei dan qiu an wei ren shao qiu bei liao jie dan qiu liao jie ren shao qiu bei ai dan qiu quan xin fu chu ai
D2-1,PnW,祷告,"祷告 因为我渺小
祷告 因为我知道我需要
明了 你心意对我重要
祷告 已假装不了
祷告 因为你的爱我需要
你关怀 我走过的你都明白
有些事我只想要对你说
因你比任何人都爱我
痛苦从眼中流下
我知道你为我擦
在早晨我也要来对你说
主耶稣今天我为你活
所需要的力量你天天赐给我
你恩典够我用",dao gao yin wei wo miao xiao dao gao yin wei wo zhi dao wo xu yao ming liao ni xin yi dui wo zhong yao dao gao yi jia zhuang bu liao dao gao yin wei ni de ai wo xu yao ni guan huai wo zou guo de ni dou ming bai you xie shi wo zhi xiang yao dui ni shuo yin ni bi ren he ren dou ai wo tong ku cong yan zhong liu xia wo zhi dao ni wei wo ca zai zao chen wo ye yao lai dui ni shuo zhu ye su jin tian wo wei ni huo suo xu yao de li liang ni tian tian ci gei wo ni en dian gou wo yong
D2-2,PnW,点燃,"即使旷野道路，无力淹没我的心，我要向你屈膝，更多寻求你的心意，求牵引我贴近你。
论高处低处，渴望能重新得力，倾倒你的火焰，让灰烬能再次燃起，成为焚烧的生命。
求你点燃，点燃我们起初为你火热的心，主，你打开天门，焚烧炼净我们，向我们显明你心意。
求你点燃，兴起我的生命，成为馨香的活祭，主，你彰显大能，医治释放我们，求你再次降临，点燃我的心。
圣灵如风，吹起挑旺信心，呼召因你烈火再次燃起，奔向祭坛，全然献上自己，圣灵火降临。",ji shi kuang ye dao lu wu li yan mo wo de xin wo yao xiang ni qu xi geng duo xun qiu ni de xin yi qiu qian yin wo tie jin ni lun gao chu di chu ke wang neng chong xin de li qing dao ni de huo yan rang hui jin neng zai ci ran qi cheng wei fen shao de sheng ming qiu ni dian ran dian ran wo men qi chu wei ni huo re de xin zhu ni da kai tian men fen shao lian jing wo men xiang wo men xian ming ni xin yi qiu ni dian ran xing qi wo de sheng ming cheng wei xin xiang de huo ji zhu ni zhang xian da neng yi zhi shi fang wo men qiu ni zai ci jiang lin dian ran wo de xin sheng ling ru feng chui qi tiao wang xin xin hu zhao yin ni lie huo zai ci ran qi ben xiang ji tan quan ran xian shang zi ji sheng ling huo jiang lin
D3-1,PnW,等候神,"我的心哪，你当默默无声，要专心等候神
我的救恩是从神而来，祂是我的磐石，我的得胜
我的心哪，你当默默无声，要专心等候神
我的盼望是从神而来，祂是我的帮助，我的荣耀，救主
我的高台，我必不至动摇，主是我的力量和避难所
我要时时依靠祂，我要安静等候祂，我的荣耀能力全都在乎神
安静等候祂，我的荣耀能力全都在乎神",wo de xin na ni dang mo mo wu sheng yao zhuan xin deng hou shen wo de jiu en shi cong shen er lai ta shi wo de pan shi wo de de sheng wo de xin na ni dang mo mo wu sheng yao zhuan xin deng hou shen wo de pan wang shi cong shen er lai ta shi wo de bang zhu wo de rong yao jiu zhu wo de gao tai wo bi bu zhi dong yao zhu shi wo de li liang he bi nan suo wo yao shi shi yi kao ta wo yao an jing deng hou ta wo de rong yao neng li quan dou zai hu shen an jing deng hou ta wo de rong yao neng li quan dou zai hu shen
D5-1,PnW,当你找到我,当你找到我，在生命十字路口；你靠近我，你拥抱我，从此你不放手。过去的种种全然交在你手中；你医治我，你恢复我，从此我不放手。夜再黑，心再疲惫，我仰望你至圣荣面，我已决定永不后退！你大能在我心间，我愿一生紧紧跟随！我跟随你，从高山到低谷，我跟随你，即使荆棘满布；纵然面对挑战，也有眼泪，感到疲惫，我要挣脱缠累永远不后悔！在你翅膀荫下我得保护，你话语使我生命得坚固；你应许不摇动，自始至终，永不落空，未来在你的手中我不忘初衷！当你找到我。,dang ni zhao dao wo zai sheng ming shi zi lu kou ni kao jin wo ni yong bao wo cong ci ni bu fang shou guo qu de zhong zhong quan ran jiao zai ni shou zhong ni yi zhi wo ni hui fu wo cong ci wo bu fang shou ye zai hei xin zai pi bei wo yang wang ni zhi sheng rong mian wo yi jue ding yong bu hou tui ni da neng zai wo xin jian wo yuan yi sheng jin jin gen sui wo gen sui ni cong gao shan dao di gu wo gen sui ni ji shi jing ji man bu zong ran mian dui tiao zhan ye you yan lei gan dao pi bei wo yao zheng tuo chan lei yong yuan bu hou hui zai ni chi bang yin xia wo de bao hu ni hua yu shi wo sheng ming de jian gu ni ying xu bu yao dong zi shi zhi zhong yong bu luo kong wei lai zai ni de shou zhong wo bu wang chu zhong dang ni zhao dao wo
D5-2,PnW,得胜的宣告,"信心，看见流奶与蜜之地。
信心，跟随云柱火柱带领。
甩开不信，只宣告你的话语，
在巨人面前，得胜又得胜。

盼望能力，都是耶稣的名！
平安！喜乐！无人能够夺去！
在敌人的面前，你为我摆设筵席。
这是我得胜的宣告！

得胜得胜宣告，宣告我相信将临到！
我要得胜得胜宣告，荣耀归耶稣，哈利路亚，我要唱！
得胜得胜呼喊，耶稣你为我争战！
我要得胜得胜呼喊，欢呼赞美拍手跳舞！
高唱哈利路亚，天天赞美天天唱。
我要高唱哈利路亚，我要唱！",xin xin kan jian liu nai yu mi zhi di xin xin gen sui yun zhu huo zhu dai ling shuai kai bu xin zhi xuan gao ni de hua yu zai ju ren mian qian de sheng you de sheng pan wang neng li dou shi ye su de ming ping an xi le wu ren neng gou duo qu zai di ren de mian qian ni wei wo bai she yan xi zhe shi wo de sheng de xuan gao de sheng de sheng xuan gao xuan gao wo xiang xin jiang lin dao wo yao de sheng de sheng xuan gao rong yao gui ye su ha li lu ya wo yao chang de sheng de sheng hu han ye su ni wei wo zheng zhan wo yao de sheng de sheng hu han huan hu zan mei pai shou tiao wu gao chang ha li lu ya tian tian zan mei tian tian chang wo yao gao chang ha li lu ya wo yao chang
